Year,state,Female_18_59,Male_18_59,Female_5_17,Male_5_17,Female_greater_than_60,Male_greater_than_60,Female_less_than_5,Male_less_than_5,Alaska Native alone,American Indian alone,"American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races",Asian alone,Black or African American alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Two or More Races,White alone,Not Spanish/Hispanic/Latino,Spanish/Hispanic/Latino,Asian and Pacific Island languages,English Only,N/A (GQ/vacant),Other Indo-European languages,Other Language,Spanish,With a disability,Without a disability,total_pop,indian_area,state_area,Percent_Tribal_Land,Income_Limit,state_name,Pop2010_Rural,TractSNAP_Rural,Pop2010_Urban,TractSNAP_Urban
2019,4,549767,469013,229017,235329,232519,158527,83789,92618,219.0,148557.0,7430.0,50501.0,124232.0,4026.0,130035.0,91192.0,1494387.0,1149434,901145,47107,1054164,18512,42731,139709,748356,354722,1695857,7050299,8.189254145506085,28.91922003171593,0.2831768677206669,185,Arizona,909560.0,43328.0,5482457.0,255028.0
2021,4,520822,439133,213916,220145,238180,173075,78456,78665,812.0,142919.0,7529.0,47061.0,108317.0,4781.0,257012.0,507448.0,886513.0,1081642,880750,49257,1011489,17525,38748,132869,712504,361666,1600726,7079203,8.189254145506085,28.91922003171593,0.2831768677206669,185,Arizona,909560.0,43328.0,5482457.0,255028.0
2018,5,303832,237094,116788,112825,125779,85766,48796,48813,,4290.0,2920.0,12204.0,242913.0,6698.0,48946.0,40978.0,720744.0,959776,119917,14643,945740,6620,10941,1506,100243,250397,829296,2990671,0.0001591332045018,13.585448531226003,1.1713503910897187e-05,185,Arkansas,1458688.0,67231.0,1457230.0,79567.0
2019,5,284365,243507,113664,113847,128752,82522,50589,43117,,6101.0,1479.0,9215.0,230538.0,6897.0,37002.0,35181.0,733950.0,943627,116736,13632,914923,5298,18158,2502,105850,248514,811849,2999370,0.0001591332045018,13.585448531226003,1.1713503910897187e-05,185,Arkansas,1458688.0,67231.0,1457230.0,79567.0
2021,5,271376,215095,105366,116440,128571,95654,45343,44336,80.0,4959.0,743.0,9335.0,213700.0,5710.0,40362.0,117173.0,630119.0,910787,111394,13446,902513,4621,13909,1942,85750,242022,780159,3006309,0.0001591332045018,13.585448531226003,1.1713503910897187e-05,185,Arkansas,1458688.0,67231.0,1457230.0,79567.0
2018,20,211557,182399,78558,80573,88481,54233,35385,38654,,6465.0,1116.0,19389.0,74809.0,148.0,39158.0,44090.0,584665.0,613428,156412,16896,592696,5041,15879,11525,127803,157768,612072,2908776,0.103484531598034,22.00432773406957,0.0047029172101362,185,Kansas,846171.0,19743.0,2006947.0,70942.0
2019,20,201204,155750,82464,84680,80310,51616,28281,33059,,5587.0,960.0,22374.0,60998.0,93.0,42256.0,41239.0,543857.0,571866,145498,19464,554472,5887,11865,11444,114232,151696,565668,2910652,0.103484531598034,22.00432773406957,0.0047029172101362,185,Kansas,846171.0,19743.0,2006947.0,70942.0
2021,20,214190,176266,77137,79550,88593,63036,31422,34400,49.0,5844.0,1614.0,18989.0,63663.0,1745.0,52404.0,113389.0,506897.0,623159,141435,21107,607481,4970,13015,8192,109829,156550,608044,2932099,0.103484531598034,22.00432773406957,0.0047029172101362,185,Kansas,846171.0,19743.0,2006947.0,70942.0
2018,23,91366,76758,28561,26744,60564,41706,8564,10835,,2552.0,89.0,1254.0,10357.0,20.0,1682.0,11450.0,317694.0,339240,5858,1641,307973,5995,17409,7903,4177,101107,243991,1332813,0.1115573921269512,9.753205391625972,0.0114380234648532,185,Maine,883352.0,50188.0,445009.0,29350.0
2019,23,96746,76914,27856,26066,51359,37571,11245,11112,,4493.0,416.0,5606.0,11734.0,,916.0,8794.0,306910.0,332063,6806,6423,297098,5224,17064,7025,6035,98477,240392,1335492,0.1115573921269512,9.753205391625972,0.0114380234648532,185,Maine,883352.0,50188.0,445009.0,29350.0
2021,23,83009,69616,24187,23594,60326,41149,9562,9557,,1713.0,199.0,4627.0,10018.0,,3101.0,18852.0,282490.0,316356,4644,3596,278917,4448,23358,6184,4497,93719,227281,1357046,0.1115573921269512,9.753205391625972,0.0114380234648532,185,Maine,883352.0,50188.0,445009.0,29350.0
2018,28,317244,237222,125660,121896,132881,84644,41180,47569,,7284.0,305.0,7171.0,589055.0,557.0,13242.0,16045.0,474637.0,1069812,38484,7025,1040833,5940,5474,8455,40569,243863,864433,2988762,0.0131449507200001,11.885416620194546,0.0011059730710377,185,Mississippi,1611292.0,90987.0,1356005.0,91101.0
2019,28,316523,221321,121728,123582,136212,87418,45571,40995,,7356.0,617.0,9194.0,581716.0,,17396.0,18749.0,458322.0,1049266,44084,7125,1015229,6226,11945,7379,45446,239471,853879,2984418,0.0131449507200001,11.885416620194546,0.0011059730710377,185,Mississippi,1611292.0,90987.0,1356005.0,91101.0
2021,28,293875,222813,114030,118218,133829,92428,39952,43699,114.0,6070.0,2223.0,6700.0,541291.0,265.0,25283.0,57791.0,419107.0,1010947,47897,8092,977814,4582,8015,11584,48757,254176,804668,2967023,0.0131449507200001,11.885416620194546,0.0011059730710377,185,Mississippi,1611292.0,90987.0,1356005.0,91101.0
2018,29,481948,364381,178488,177325,210045,146557,73240,73195,872.0,7241.0,1772.0,23940.0,313774.0,1037.0,28800.0,73534.0,1254209.0,1604736,100443,21539,1510316,16015,42501,25844,88964,385636,1319543,6090062,2.33316530326836e-05,18.615444948119908,1.2533491999631205e-06,185,Missouri,1928155.0,81538.0,4060772.0,197310.0
2019,29,456359,380657,171023,173838,218555,140703,69916,70861,150.0,7502.0,2094.0,28852.0,289109.0,3515.0,31734.0,58651.0,1260305.0,1577922,103990,31698,1478073,16817,38792,19209,97323,389131,1292781,6104910,2.33316530326836e-05,18.615444948119908,1.2533491999631205e-06,185,Missouri,1928155.0,81538.0,4060772.0,197310.0
2021,29,454887,350260,148996,179990,219525,145160,67302,71349,27.0,6435.0,1904.0,27683.0,288112.0,1982.0,37938.0,159115.0,1114273.0,1530856,106613,28602,1447168,14964,41407,16341,88987,367706,1269763,6141534,2.33316530326836e-05,18.615444948119908,1.2533491999631205e-06,185,Missouri,1928155.0,81538.0,4060772.0,197310.0
2018,34,482504,384918,190389,193382,240704,136773,75433,70125,76.0,4861.0,3034.0,117707.0,374577.0,1030.0,259696.0,52051.0,961196.0,1120366,653862,75473,822688,24368,158833,59775,633091,303235,1470993,8881845,0.0072555651172241,2.130952484622497,0.003404846034617,185,New Jersey,665386.0,10902.0,8126508.0,279177.0
2019,34,451566,349476,169934,198863,238518,140744,65057,75861,,2719.0,1596.0,96382.0,372967.0,280.0,204781.0,56190.0,955104.0,1090810,599209,60713,805507,25680,141096,60472,596551,293021,1396998,8878503,0.0072555651172241,2.130952484622497,0.003404846034617,185,New Jersey,665386.0,10902.0,8126508.0,279177.0
2021,34,488676,401115,196375,194061,263029,158767,67607,78306,,8928.0,5410.0,110282.0,352936.0,574.0,369276.0,302066.0,698464.0,1149461,698475,68357,862346,24184,152671,84146,656232,317958,1529978,9234024,0.0072555651172241,2.130952484622497,0.003404846034617,185,New Jersey,665386.0,10902.0,8126508.0,279177.0
2018,44,71916,54271,23554,21856,37051,25119,9380,10892,,1236.0,528.0,9395.0,20564.0,783.0,31849.0,8510.0,181174.0,171713,82326,7330,137621,3114,24747,4355,76872,64323,189716,1056611,0.0008971107265001,0.3077630530859966,0.0029149396508275,185,Rhode Island,110073.0,2403.0,942494.0,63252.0
2019,44,61392,53355,18860,20695,35528,20519,9746,6994,,719.0,830.0,4051.0,32562.0,123.0,28911.0,13303.0,146590.0,155215,71874,3325,126037,3518,16665,7857,69687,52484,174605,1057231,0.0008971107265001,0.3077630530859966,0.0029149396508275,185,Rhode Island,110073.0,2403.0,942494.0,63252.0
2021,44,69536,55637,21004,23383,40519,21954,8070,7909,,2065.0,441.0,6766.0,19326.0,932.0,44030.0,43528.0,130924.0,168024,79988,6488,141039,3172,16728,5656,74929,57445,190567,1091949,0.0008971107265001,0.3077630530859966,0.0029149396508275,185,Rhode Island,110073.0,2403.0,942494.0,63252.0
2018,46,63362,53272,23365,25708,29021,20133,7858,14276,,39842.0,12740.0,4012.0,9760.0,,2428.0,12864.0,155349.0,220591,16404,1858,194913,4755,7230,19160,9079,40393,196602,864289,4.75011154100549,22.57833163513349,0.2103836376295393,185,South Dakota,394436.0,12300.0,419744.0,18815.0
2019,46,58151,50904,22323,24212,25489,19420,10493,10791,,42061.0,5680.0,3192.0,8739.0,383.0,2658.0,8324.0,150746.0,210868,10915,2562,186925,7357,4759,13140,7040,40531,181252,870638,4.75011154100549,22.57833163513349,0.2103836376295393,185,South Dakota,394436.0,12300.0,419744.0,18815.0
2021,46,59099,47450,20018,20594,25787,22279,7562,10491,,42911.0,3598.0,5495.0,8827.0,556.0,5835.0,17113.0,128945.0,200619,12661,2146,171116,7875,4810,17988,9345,44963,168317,881785,4.75011154100549,22.57833163513349,0.2103836376295393,185,South Dakota,394436.0,12300.0,419744.0,18815.0
2018,47,608238,466283,228343,228543,252491,170114,89379,95595,369.0,3530.0,2878.0,32572.0,518873.0,2312.0,49132.0,62982.0,1466338.0,1947291,191695,28284,1846864,11232,35955,35446,181205,464799,1674187,6651089,6.923441299994904e-05,10.889271696434513,6.358038896450581e-06,185,Tennessee,2440530.0,140980.0,3905575.0,238345.0
2019,47,558434,436086,202459,213576,246216,164971,87792,82130,232.0,5234.0,3202.0,25523.0,453197.0,1720.0,58799.0,60325.0,1383432.0,1788915,202749,21122,1691146,13298,33593,30330,202175,446788,1544876,6709356,6.923441299994904e-05,10.889271696434513,6.358038896450581e-06,185,Tennessee,2440530.0,140980.0,3905575.0,238345.0
